"state"	"1930"	"1931"	"1932"	"1933"	"1934"	"1935"	"1936"	"1937"	"1938"	"1939"	"1940"	"1941"	"1942"	"1943"	"1944"	"1945"	"1946"	"1947"	"1948"	"1949"	"1950"	"1951"	"1952"	"1953"	"1954"	"1955"	"1956"	"1957"	"1958"	"1959"	"1960"	"1961"	"1962"	"1963"	"1964"	"1965"	"1966"	"1967"	"1968"	"1969"	"1970"	"1971"	"1972"	"1973"	"1974"	"1975"	"1976"	"1977"	"1978"	"1979"	"1980"	"1981"	"1982"	"1983"	"1984"	"1985"	"1986"	"1987"	"1988"	"1989"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"
"NORTH DAKOTA"	682000	680000	676000	674000	672000	670000	664000	655000	647000	644000	640000	615000	583000	546000	534000	546000	570000	578000	580000	597000	619000	604000	608000	609000	611000	615000	613000	612000	606000	618000	634000	641000	637000	644000	649000	649000	647000	626000	621000	621000	617792	626760	631119	632675	634559	638886	645797	649769	651301	652896	652717	659505	668972	676688	680497	676980	669512	661136	655331	646351	1220695	1296171	1351367	1411215	1499298	1581578	1666320	1764104	1853191	1934718	2018741	2098399
"OHIO"	6662000	6694000	6717000	6740000	6751000	6787000	6801000	6809000	6837000	6886000	6929000	6958000	6969000	6868000	6918000	6916000	7512000	7705000	7876000	7973000	7980000	8061000	8275000	8591000	8873000	9017000	9207000	9410000	9599000	9671000	9734000	9854000	9929000	9986000	10080000	10201000	10330000	10414000	10516000	10563000	10657423	10734818	10746993	10767314	10765759	10770425	10752662	10771394	10795581	10798298	10797630	10788330	10757087	10737632	10737746	10734926	10730268	10760090	10798552	10829217	10864162	10945762	11029431	11101140	11152454	11202751	11242827	11277357	11311536	11335454	11363543	11387404
"OKLAHOMA"	2401000	2403000	2394000	2392000	2391000	2386000	2365000	2334000	2324000	2333000	2325000	2262000	2215000	2205000	2043000	2028000	2128000	2133000	2089000	2105000	2229000	2210000	2219000	2182000	2209000	2250000	2273000	2282000	2267000	2289000	2336000	2380000	2427000	2439000	2446000	2440000	2454000	2489000	2503000	2535000	2559463	2618601	2658646	2695931	2734768	2774683	2826815	2870014	2917336	2975310	3025290	3096164	3206123	3290402	3285533	3271332	3252735	3210122	3167057	3150307	3148825	3175440	3220517	3252285	3280940	3308208	3340129	3372917	3405194	3437147	3454365	3467100
"OREGON"	956000	966000	972000	978000	985000	1001000	1025000	1048000	1067000	1081000	1086000	1071000	1107000	1221000	1233000	1250000	1338000	1361000	1405000	1431000	1532000	1556000	1582000	1601000	1626000	1659000	1698000	1712000	1718000	1746000	1772000	1787000	1818000	1853000	1888000	1937000	1969000	1979000	2004000	2062000	2091533	2151022	2197297	2241932	2285013	2329661	2378262	2446673	2518298	2588012	2633105	2667982	2664922	2653066	2666588	2672652	2683528	2700991	2741297	2790575	2860375	2928507	2991755	3060367	3121264	3184369	3247111	3304310	3352449	3393941	3429708	3467937
"PENNSYLVANIA"	9649000	9707000	9764000	9784000	9795000	9774000	9767000	9790000	9952000	9901000	9896000	9911000	9704000	9444000	9214000	9143000	9866000	10196000	10287000	10390000	10507000	10461000	10503000	10662000	10817000	10939000	10972000	10954000	11058000	11234000	11329000	11392000	11355000	11424000	11519000	11620000	11664000	11681000	11741000	11741000	11800766	11886400	11908233	11890527	11870884	11906095	11897378	11893591	11879396	11887975	11863895	11858567	11845146	11837723	11815172	11770862	11782752	11810866	11845752	11865996	11903299	11982164	12049450	12119724	12166050	12198403	12220464	12227814	12245672	12263805	12284173	12298970
"RHODE ISLAND"	686000	681000	677000	675000	675000	678000	686000	694000	694000	701000	719000	731000	748000	760000	795000	776000	770000	776000	787000	801000	786000	784000	802000	815000	816000	823000	840000	851000	858000	857000	855000	858000	871000	876000	885000	893000	899000	909000	922000	932000	949723	963107	974790	975738	950615	942788	946089	950230	951816	950382	947154	953013	954170	956382	961894	968955	977341	989604	996408	1000666	1005995	1010649	1012581	1015112	1015960	1017002	1020893	1025353	1031155	1040402	1050268	1057142
"SOUTH CAROLINA"	1745000	1753000	1748000	1752000	1760000	1769000	1781000	1802000	1834000	1872000	1902000	1962000	2007000	1967000	1943000	1934000	1936000	1992000	1996000	2029000	2113000	2167000	2178000	2181000	2176000	2200000	2229000	2274000	2304000	2348000	2392000	2409000	2423000	2460000	2475000	2494000	2520000	2533000	2559000	2570000	2590713	2662269	2719197	2776605	2844749	2902028	2943657	2991681	3044364	3090267	3121820	3179255	3207614	3234066	3271868	3303209	3342758	3380506	3412096	3456775	3501155	3570404	3620464	3663314	3705397	3748582	3796200	3859696	3919235	3974682	4024223	4064995
"SOUTH DAKOTA"	693000	694000	692000	690000	682000	674000	666000	656000	649000	645000	641000	613000	589000	587000	565000	579000	588000	601000	612000	631000	655000	655000	651000	648000	655000	663000	670000	666000	656000	667000	683000	693000	705000	708000	701000	692000	683000	671000	669000	668000	666257	671297	677234	678715	679585	681042	686390	688480	688580	688335	690768	689584	690597	693008	697249	698402	696034	696036	698165	696701	697101	703669	712801	722159	730790	737925	742213	744223	746058	750412	755844	757972
"TENNESSEE"	2619000	2657000	2711000	2747000	2784000	2798000	2791000	2795000	2821000	2874000	2935000	2973000	2939000	2972000	2868000	2878000	3074000	3166000	3216000	3236000	3315000	3372000	3352000	3319000	3359000	3415000	3415000	3434000	3471000	3522000	3575000	3622000	3673000	3718000	3771000	3798000	3822000	3859000	3878000	3897000	3926018	4013608	4094611	4147401	4213509	4275566	4346928	4422921	4486314	4560473	4591120	4627658	4646041	4659749	4686737	4715296	4738708	4782927	4822437	4854444	4894492	4966587	5049742	5137584	5231438	5326936	5416643	5499233	5570045	5638706	5703719	5750789
"TEXAS"	5844000	5907000	5961000	6014000	6053000	6123000	6192000	6250000	6301000	6360000	6425000	6585000	6711000	7012000	6876000	6826000	7197000	7388000	7626000	7623000	7776000	8111000	8314000	8336000	8382000	8660000	8830000	9070000	9252000	9405000	9624000	9820000	10053000	10159000	10270000	10378000	10492000	10599000	10819000	11045000	11198655	11509848	11759148	12019543	12268629	12568843	12904089	13193050	13500429	13888371	14229191	14746318	15331415	15751676	16007086	16272734	16561113	16621791	16667022	16806735	17056755	17398005	17759738	18161612	18564062	18958751	19340342	19740317	20157531	20558220	20944499	21319622
"UTAH"	509000	513000	517000	520000	522000	526000	527000	529000	535000	543000	552000	551000	575000	631000	605000	591000	638000	636000	653000	671000	696000	706000	724000	739000	750000	783000	809000	826000	845000	870000	9e+05	936000	958000	974000	978000	994000	1009000	1019000	1029000	1047000	1059273	1101192	1135449	1170040	1200471	1236030	1274928	1319512	1367510	1420238	1461037	1515471	1558314	1594943	1622342	1642910	1662834	1678119	1689372	1705864	1731223	1779780	1836799	1898404	1960446	2014177	2067976	2119784	2165960	2203482	2244502	2283715
"VERMONT"	360000	359000	358000	357000	357000	357000	357000	356000	356000	358000	363000	348000	343000	327000	314000	315000	342000	354000	359000	369000	379000	378000	375000	379000	377000	375000	377000	376000	380000	387000	389000	390000	393000	397000	399000	404000	413000	423000	430000	437000	444732	454318	463143	468430	473002	479713	484928	491931	498109	505372	511456	515594	519109	523302	526660	530035	534066	540267	549763	557707	6216884	6301217	6414307	6509630	6593139	6670693	6750884	6829183	6900918	7000174	7105817	7198362
"VIRGINIA"	2427000	2445000	2452000	2460000	2485000	2520000	2552000	2590000	2638000	2670000	2720000	2855000	3038000	3130000	3248000	3193000	3212000	3201000	3207000	3292000	3315000	3434000	3504000	3557000	3555000	3588000	3722000	3844000	3914000	3951000	3986000	4095000	4180000	4276000	4357000	4411000	4456000	4508000	4558000	4614000	4651448	4750838	4824472	4901292	4971069	5047395	5121863	5193112	5270240	5307945	5346818	5444097	5492783	5564657	5643870	5715153	5811700	5932268	6036909	6120246	564798	568606	572751	577748	583836	589002	593701	597239	600416	604683	609618	612223
