"state"	"variable"	"value"
"MAINE"	"1934"	78.0458383594692
"MARYLAND"	"1934"	1575.90643274854
"MASSACHUSETTS"	"1934"	1039.46573751452
"MICHIGAN"	"1934"	132.451021258858
"MINNESOTA"	"1934"	313.580705009276
"MISSISSIPPI"	"1934"	NA
"MISSOURI"	"1934"	539.482029598309
"MONTANA"	"1934"	355.963302752294
"NEBRASKA"	"1934"	331.041968162084
"NEVADA"	"1934"	NA
"NEW HAMPSHIRE"	"1934"	846.666666666667
"NEW JERSEY"	"1934"	359.941305942773
"NEW MEXICO"	"1934"	731.887201735358
"NEW YORK"	"1934"	258.11514374104
"NORTH CAROLINA"	"1934"	1685.35108958838
"NORTH DAKOTA"	"1934"	657.589285714286
"OHIO"	"1934"	410.502147829951
"OKLAHOMA"	"1934"	378.084483479716
"OREGON"	"1934"	193.502538071066
"PENNSYLVANIA"	"1934"	848.147013782542
"RHODE ISLAND"	"1934"	65.7777777777778
"SOUTH CAROLINA"	"1934"	637.613636363636
"SOUTH DAKOTA"	"1934"	1373.90029325513
"TENNESSEE"	"1934"	647.844827586207
"TEXAS"	"1934"	490.649264827358
"UTAH"	"1934"	2184.86590038314
"VERMONT"	"1934"	380.672268907563
"VIRGINIA"	"1934"	1158.75251509054
"WASHINGTON"	"1934"	473.788819875776
"WEST VIRGINIA"	"1934"	231.789949181254
"WISCONSIN"	"1934"	1332.87491814014
"WYOMING"	"1934"	967.381974248927
"ALABAMA"	"1935"	265.318131666054
"ARIZONA"	"1935"	135.023041474654
"ARKANSAS"	"1935"	80.3174603174603
"CALIFORNIA"	"1935"	466.380566801619
"COLORADO"	"1935"	1186.0853432282
"CONNECTICUT"	"1935"	1449.51980792317
"DELAWARE"	"1935"	412.698412698413
"DISTRICT OF COLUMBIA"	"1935"	152.796052631579
"FLORIDA"	"1935"	72.7836329820211
"GEORGIA"	"1935"	1.04906937394247
"IDAHO"	"1935"	182.328482328482
"ILLINOIS"	"1935"	746.812876747467
"INDIANA"	"1935"	299.129651860744
"IOWA"	"1935"	865.649762282092
"KANSAS"	"1935"	1399.03846153846
"KENTUCKY"	"1935"	533.733624454148
"LOUISIANA"	"1935"	117.280071813285
"MAINE"	"1935"	857.775119617225
"MARYLAND"	"1935"	133.140543666859
"MASSACHUSETTS"	"1935"	286.737278379001
"MICHIGAN"	"1935"	1600.88879702356
"MINNESOTA"	"1935"	1062.01693043798
"MISSISSIPPI"	"1935"	NA
"MISSOURI"	"1935"	345.181674565561
"MONTANA"	"1935"	1422.54545454545
"NEBRASKA"	"1935"	639.636363636364
"NEVADA"	"1935"	NA
"NEW HAMPSHIRE"	"1935"	55.0935550935551
"NEW JERSEY"	"1935"	792.949816401469
"NEW MEXICO"	"1935"	148
"NEW YORK"	"1935"	516.433644859813
"NORTH CAROLINA"	"1935"	323.894071622028
"NORTH DAKOTA"	"1935"	290.44776119403
"OHIO"	"1935"	544.806247237365
"OKLAHOMA"	"1935"	102.933780385583
"OREGON"	"1935"	705.394605394605
"PENNSYLVANIA"	"1935"	917.341927562922
"RHODE ISLAND"	"1935"	994.100294985251
"SOUTH CAROLINA"	"1935"	46.2408140192199
"SOUTH DAKOTA"	"1935"	167.210682492582
"TENNESSEE"	"1935"	51.3223731236598
"TEXAS"	"1935"	64.0699003756329
"UTAH"	"1935"	50.1901140684411
"VERMONT"	"1935"	389.355742296919
"VIRGINIA"	"1935"	727.34126984127
"WASHINGTON"	"1935"	525.475751995089
"WEST VIRGINIA"	"1935"	605.908584169454
"WISCONSIN"	"1935"	1415.40716612378
"WYOMING"	"1935"	935.443037974684
"ALABAMA"	"1936"	20.8530805687204
"ARIZONA"	"1936"	536.794582392777
"ARKANSAS"	"1936"	5.6553911205074
"CALIFORNIA"	"1936"	774.199653051569
"COLORADO"	"1936"	55.4128440366972
"CONNECTICUT"	"1936"	238.456937799043
"DELAWARE"	"1936"	588.932806324111
"DISTRICT OF COLUMBIA"	"1936"	337.678855325914
"FLORIDA"	"1936"	18.3525136281042
"GEORGIA"	"1936"	0.268636668905306
"IDAHO"	"1936"	280.606060606061
"ILLINOIS"	"1936"	15.7142857142857
"INDIANA"	"1936"	21.2664277180406
"IOWA"	"1936"	8.13072937425269
"KANSAS"	"1936"	23.4349919743178
"KENTUCKY"	"1936"	79.985549132948
"LOUISIANA"	"1936"	58.3259127337489
"MAINE"	"1936"	894.761904761905
"MARYLAND"	"1936"	414.899713467049
"MASSACHUSETTS"	"1936"	629.092996555683
"MICHIGAN"	"1936"	48.6398036408263
"MINNESOTA"	"1936"	283.979517190929
"MISSISSIPPI"	"1936"	NA
"MISSOURI"	"1936"	17.5743225466982
"MONTANA"	"1936"	82.129963898917
"NEBRASKA"	"1936"	86.5243004418262
"NEVADA"	"1936"	NA
"NEW HAMPSHIRE"	"1936"	186.070686070686
"NEW JERSEY"	"1936"	222.061704211557
"NEW MEXICO"	"1936"	235.173824130879
"NEW YORK"	"1936"	479.230027446035
"NORTH CAROLINA"	"1936"	41.4524805738195
"NORTH DAKOTA"	"1936"	16.8674698795181
"OHIO"	"1936"	137.023967063667
"OKLAHOMA"	"1936"	15.3488372093023
"OREGON"	"1936"	919.707317073171
"PENNSYLVANIA"	"1936"	244.261288010648
"RHODE ISLAND"	"1936"	375.655976676385
"SOUTH CAROLINA"	"1936"	48.9612577203818
"SOUTH DAKOTA"	"1936"	34.2342342342342
"TENNESSEE"	"1936"	51.2719455392333
"TEXAS"	"1936"	127.632428940568
"UTAH"	"1936"	133.017077798861
"VERMONT"	"1936"	2975.63025210084
"VIRGINIA"	"1936"	130.564263322884
"WASHINGTON"	"1936"	464.730792498488
"WEST VIRGINIA"	"1936"	63.8274336283186
"WISCONSIN"	"1936"	127.514600908501
"WYOMING"	"1936"	58.75
"ALABAMA"	"1937"	22.4475018102824
"ARIZONA"	"1937"	837.306843267108
"ARKANSAS"	"1937"	16.9206516027325
"CALIFORNIA"	"1937"	78.2322303921569
"COLORADO"	"1937"	93.0253623188406
"CONNECTICUT"	"1937"	606.73420738975
"DELAWARE"	"1937"	707.086614173228
"DISTRICT OF COLUMBIA"	"1937"	333.279220779221
"FLORIDA"	"1937"	23.0544177881802
"GEORGIA"	"1937"	NA
"IDAHO"	"1937"	243.195266272189
"ILLINOIS"	"1937"	146.939035255186
"INDIANA"	"1937"	210.077059869591
"IOWA"	"1937"	10.7686148919135
"KANSAS"	"1937"	42.1336206896552
"KENTUCKY"	"1937"	245.761494252874
"LOUISIANA"	"1937"	20.7354895879486
"MAINE"	"1937"	134.323040380048
"MARYLAND"	"1937"	698.175598631699
"MASSACHUSETTS"	"1937"	478.338687471317
"MICHIGAN"	"1937"	115.599838969404
"MINNESOTA"	"1937"	25.1274581209031
"MISSISSIPPI"	"1937"	0
"MISSOURI"	"1937"	186.425935687928
"MONTANA"	"1937"	111.73285198556
"NEBRASKA"	"1937"	34.5033607169529
"NEVADA"	"1937"	NA
"NEW HAMPSHIRE"	"1937"	393.139293139293
"NEW JERSEY"	"1937"	1108.9530332681
"NEW MEXICO"	"1937"	487.27634194831
"NEW YORK"	"1937"	202.827325882614
"NORTH CAROLINA"	"1937"	226.056129985229
"NORTH DAKOTA"	"1937"	8.3969465648855
"OHIO"	"1937"	366.338669408136
"OKLAHOMA"	"1937"	45.6298200514139
"OREGON"	"1937"	38.1679389312977
"PENNSYLVANIA"	"1937"	390.909090909091
"RHODE ISLAND"	"1937"	679.250720461095
"SOUTH CAROLINA"	"1937"	99.1675915649279
"SOUTH DAKOTA"	"1937"	9.90853658536586
"TENNESSEE"	"1937"	106.404293381038
"TEXAS"	"1937"	235.104
"UTAH"	"1937"	396.786389413989
"VERMONT"	"1937"	289.325842696629
"VIRGINIA"	"1937"	337.413127413127
"WASHINGTON"	"1937"	103.331350386675
"WEST VIRGINIA"	"1937"	110.03861003861
"WISCONSIN"	"1937"	66.5479274611399
"WYOMING"	"1937"	69.9588477366255
"ALABAMA"	"1938"	484.786508790814
"ARIZONA"	"1938"	129.613733905579
"ARKANSAS"	"1938"	346.991701244813
"CALIFORNIA"	"1938"	292.247596153846
"COLORADO"	"1938"	755.665467625899
"CONNECTICUT"	"1938"	82.4228028503563
"DELAWARE"	"1938"	191.439688715953
"DISTRICT OF COLUMBIA"	"1938"	67.7115987460815
"FLORIDA"	"1938"	504.347826086957
"GEORGIA"	"1938"	298.964736331284
"IDAHO"	"1938"	151.267056530214
"ILLINOIS"	"1938"	1110.62801932367
"INDIANA"	"1938"	504.105138806852
"IOWA"	"1938"	200.320769847634
"KANSAS"	"1938"	559.391965255157
"KENTUCKY"	"1938"	374.178571428571
"LOUISIANA"	"1938"	35.2297592997812
"MAINE"	"1938"	442.82325029656
"MARYLAND"	"1938"	125.311438278596
"MASSACHUSETTS"	"1938"	211.156930126002
"MICHIGAN"	"1938"	1467.22705696203
"MINNESOTA"	"1938"	235.379585906284
"MISSISSIPPI"	"1938"	0
"MISSOURI"	"1938"	473.234594022745
"MONTANA"	"1938"	513.949275362319
"NEBRASKA"	"1938"	184.841628959276
"NEVADA"	"1938"	NA
"NEW HAMPSHIRE"	"1938"	243.917525773196
"NEW JERSEY"	"1938"	661.756097560976
"NEW MEXICO"	"1938"	466.861598440546
"NEW YORK"	"1938"	514.157785671995
"NORTH CAROLINA"	"1938"	1331.25
"NORTH DAKOTA"	"1938"	685.007727975271
"OHIO"	"1938"	649.436887523768
"OKLAHOMA"	"1938"	110.714285714286
"OREGON"	"1938"	94.7516401124649
"PENNSYLVANIA"	"1938"	1268.29782958199
"RHODE ISLAND"	"1938"	10.9510086455331
"SOUTH CAROLINA"	"1938"	355.179934569248
"SOUTH DAKOTA"	"1938"	145.146379044684
"TENNESSEE"	"1938"	381.354129741227
"TEXAS"	"1938"	86.3037613077289
"UTAH"	"1938"	1262.24299065421
"VERMONT"	"1938"	1174.43820224719
"VIRGINIA"	"1938"	447.119029567854
"WASHINGTON"	"1938"	83.2155477031802
"WEST VIRGINIA"	"1938"	552.516411378556
"WISCONSIN"	"1938"	2264.78373143964
"WYOMING"	"1938"	249.186991869919
"ALABAMA"	"1939"	155.685856432125
"ARIZONA"	"1939"	98.9669421487603
"ARKANSAS"	"1939"	88.5010266940452
"CALIFORNIA"	"1939"	990.125276344878
"COLORADO"	"1939"	462.678571428571
"CONNECTICUT"	"1939"	932.606132075472
"DELAWARE"	"1939"	60.4562737642586
"DISTRICT OF COLUMBIA"	"1939"	560.334346504559
"FLORIDA"	"1939"	138.398692810458
"GEORGIA"	"1939"	96.25
"IDAHO"	"1939"	424.568138195777
"ILLINOIS"	"1939"	14.2839036755387
"INDIANA"	"1939"	12.8416103438143
"IOWA"	"1939"	183.968253968254
"KANSAS"	"1939"	93.2017543859649
"KENTUCKY"	"1939"	42.1238938053097
"LOUISIANA"	"1939"	142.759211653813
"MAINE"	"1939"	191.489361702128
"MARYLAND"	"1939"	755.103179029559
"MASSACHUSETTS"	"1939"	567.080745341615
"MICHIGAN"	"1939"	216.970519782777
"MINNESOTA"	"1939"	585.600866113316
"MISSISSIPPI"	"1939"	0
"MISSOURI"	"1939"	9.27835051546392
"MONTANA"	"1939"	1327.92792792793
"NEBRASKA"	"1939"	277.086494688923
"NEVADA"	"1939"	NA
"NEW HAMPSHIRE"	"1939"	46.1224489795918
"NEW JERSEY"	"1939"	30.2978929522887
"NEW MEXICO"	"1939"	130.592734225621
"NEW YORK"	"1939"	310.027360792724
"NORTH CAROLINA"	"1939"	547.581104154809
"NORTH DAKOTA"	"1939"	460.869565217391
"OHIO"	"1939"	17.3830961370897
"OKLAHOMA"	"1939"	193.056150878697
"OREGON"	"1939"	181.221091581869
"PENNSYLVANIA"	"1939"	42.4502575497424
"RHODE ISLAND"	"1939"	239.657631954351
"SOUTH CAROLINA"	"1939"	32.5320512820513
"SOUTH DAKOTA"	"1939"	975.813953488372
"TENNESSEE"	"1939"	69.9025748086291
"TEXAS"	"1939"	128.254716981132
"UTAH"	"1939"	542.541436464088
"VERMONT"	"1939"	597.206703910614
"VIRGINIA"	"1939"	403.033707865169
"WASHINGTON"	"1939"	1222.91545189504
"WEST VIRGINIA"	"1939"	24.6788008565311
"WISCONSIN"	"1939"	590.772188401153
"WYOMING"	"1939"	793.145161290323
"ALABAMA"	"1940"	107.275922671353
"ARIZONA"	"1940"	416.432865731463
"ARKANSAS"	"1940"	56.0613810741688
"CALIFORNIA"	"1940"	149.510791366906
"COLORADO"	"1940"	126.371681415929
"CONNECTICUT"	"1940"	155.503512880562
"DELAWARE"	"1940"	35.3159851301115
"DISTRICT OF COLUMBIA"	"1940"	13.4782608695652
"FLORIDA"	"1940"	109.138381201044
"GEORGIA"	"1940"	94.1968579672972
"IDAHO"	"1940"	287.547892720307
"ILLINOIS"	"1940"	93.168880455408
"INDIANA"	"1940"	15.5257792018643
"IOWA"	"1940"	218.013401655499
"KANSAS"	"1940"	606.375838926175
"KENTUCKY"	"1940"	107.939839104582
"LOUISIANA"	"1940"	10.9704641350211
"MAINE"	"1940"	1096.93757361602
"MARYLAND"	"1940"	13.8118542686243
"MASSACHUSETTS"	"1940"	459.471977767485
"MICHIGAN"	"1940"	316.048918156162
"MINNESOTA"	"1940"	179.641577060932
"MISSISSIPPI"	"1940"	0
"MISSOURI"	"1940"	17.0628631801373
"MONTANA"	"1940"	208.602150537634
"NEBRASKA"	"1940"	75.9118541033435
"NEVADA"	"1940"	0
"NEW HAMPSHIRE"	"1940"	199.186991869919
"NEW JERSEY"	"1940"	373.341317365269
"NEW MEXICO"	"1940"	223.540489642185
"NEW YORK"	"1940"	171.78953626635
"NORTH CAROLINA"	"1940"	99.2165640738668
"NORTH DAKOTA"	"1940"	26.5625
"OHIO"	"1940"	22.1388367729831
"OKLAHOMA"	"1940"	14.5376344086022
"OREGON"	"1940"	878.084714548803
