"","BusStopCode","RoadName","Description","Latitude","Longitude"
"2598","50081","Owen Rd","Blk 41A",1.31663163574561,103.850248512398
"2599","50089","Owen Rd","Blk 51",1.31665493432357,103.850447246121
"2600","50111","Moulmein Rd","Revival Ctr Ch",1.31875833024702,103.846554957642
"2601","50119","Moulmein Rd","St. Michael's Sch",1.31829503182752,103.845818503864
"2602","50121","Moulmein Rd","Natl Skin Ctr",1.31930304159281,103.849339231603
"2603","50129","Moulmein Rd","Opp Tan Tock Seng Hosp",1.3189880880064,103.849290285172
"2604","50159","Kim Keat Rd","Opp Jumbo Ind Bldg",1.32456066077113,103.853266239159
"2605","50161","Balestier Rd","Balestier Ctr",1.32665700619185,103.843660097155
"2606","50169","Balestier Rd","Aft Irrawaddy Rd",1.32647401158756,103.844208122533
"2607","50171","Balestier Rd","Zhongshan Mall",1.32663388888255,103.846410000017
"2608","50179","Balestier Rd","Opp Zhongshan Mall",1.32640402126103,103.846420328191
"2609","50189","Balestier Rd","Opp Public Man",1.32606229603246,103.84849190713
"2610","50191","Balestier Rd","Bef Balestier Plaza",1.32604500002988,103.849023888887
"2611","50199","Balestier Rd","HMI Balestier Hosp",1.32496824756028,103.85050892832
"2612","50201","Balestier Rd","Shaw Plaza",1.32490472200696,103.850965556003
"2613","50209","Balestier Rd","Aft Pegu Rd",1.32392782849174,103.851581811923
"2614","50211","Balestier Rd","Opp Balestier Pt",1.32306968689436,103.852567051489
"2615","50221","Balestier Rd","Opp Balestier Twrs",1.32143805851672,103.853037762676
"2616","50229","Balestier Rd","Balestier Twrs",1.32095764720403,103.85283489561
"2617","50231","Balestier Rd","ITE Balestier",1.31872472201456,103.854925833013
"2618","50239","Balestier Rd","S'pore Indian Assn",1.31831836156155,103.855091723163
"2619","50241","Balestier Rd","Opp S'pore Khalsa Assn",1.31724802771626,103.857275449874
"2620","50249","Balestier Rd","S'pore Khalsa Assn",1.31728239717191,103.856713879603
"2621","50251","Rangoon Rd","Farrer Pk Stn",1.31240499998142,103.854864999977
"2622","50259","Rangoon Rd","Opp Farrer Pk Stn",1.31236388897416,103.855078888938
"2623","50261","Rangoon Rd","Kentish Lodge",1.31608827183208,103.853223324074
"2624","50279","Gloucester Rd","Aft Blk 9",1.31251000009337,103.85267805492
"2625","50301","Kent Rd","Kentish Green",1.31587261047802,103.851785659774
"2626","50321","Dorset Rd","Aft Gloucester Rd",1.3136845041501,103.850830793373
"2627","50331","Mcnair Rd","Blk 122",1.31862919267946,103.857278823839
"2628","50349","Towner Rd","Blk 107",1.31930481783402,103.859576944948
"2629","50351","Dorset Rd","Farrer Pk Tennis Ctr",1.31216015438698,103.84857773804
"2630","50991","Whampoa Dr","Blk 82",1.32337986005569,103.856261453354
"2631","51011","Thomson Rd","Opp Tan Tong Meng Twr",1.32770447989161,103.840954721728
"2632","51019","Thomson Rd","Thomson Flyover",1.32894248973791,103.84066508496
"2633","51021","Thomson Rd","Old Police Academy",1.33032500001091,103.839258889002
"2634","51029","Thomson Rd","Opp Old Police Academy",1.3302549684081,103.839713398388
"2635","51031","Thomson Rd","S'pore Polo Club",1.33162906440184,103.838599920296
"2636","51039","Thomson Rd","Opp S'pore Polo Club",1.33165828742218,103.838888661475
"2637","51041","Thomson Rd","Opp SLF Cplx",1.33343558724869,103.837917261308
"2638","51049","Thomson Rd","SLF Cplx",1.3338213150365,103.837958112957
"2639","51051","Thomson Rd","MediaCorp",1.33632973264737,103.83701900964
"2640","51059","Thomson Rd","Opp MediaCorp",1.33704971547884,103.837410156328
"2641","51069","Thomson Rd","Mt Alvernia Hosp",1.34125785266365,103.836604356358
"2642","51071","Thomson Rd","Macritchie Reservoir",1.34219256998908,103.835965765051
"2643","51079","Thomson Rd","Opp Macritchie Reservoir",1.34178289872759,103.836153923118
