"COUNTY","T_PRES","T_ITEM","PERIOD","POP","D_PRES","D_ITEM"
"NORTH YORKSHIRE",241572,9836,201504,1140400,212,9
"NORTHAMPTONSHIRE",138549,5742,201504,723000,192,8
"NORTHUMBERLAND",86482,4194,201504,315300,274,13
"NOTTINGHAMSHIRE",120485,4531,201504,1124700,107,4
"OXFORDSHIRE",92694,3540,201504,677800,137,5
"RUTLAND",1318,56,201504,38000,35,1
"SHROPSHIRE",115609,4032,201504,482500,240,8
"SOMERSET",226519,8795,201504,940200,241,9
"SOUTH YORKSHIRE",367099,15025,201504,1374700,267,11
"STAFFORDSHIRE",235827,9288,201504,1114200,212,8
"SUFFOLK",231194,8582,201504,741900,312,12
"SURREY",328243,12662,201504,1168800,281,11
"TYNE AND WEAR",327238,17697,201504,1122200,292,16
"WARWICKSHIRE",85707,3337,201504,554000,155,6
"WEST MIDLANDS",304195,11873,201504,2833600,107,4
"WEST SUSSEX",207364,7559,201504,836300,248,9
"WEST YORKSHIRE",421997,18758,201504,2281700,185,8
"WILTSHIRE",156089,6333,201504,703300,222,9
"WORCESTERSHIRE",100777,4056,201504,578600,174,7
"BEDFORDSHIRE",97839,3784,201505,655000,149,6
"BERKSHIRE",175400,6786,201505,890600,197,8
"BRISTOL",50930,2075,201505,449300,113,5
"BUCKINGHAMSHIRE",73871,2608,201505,790200,93,3
"CAMBRIDGESHIRE",142800,6170,201505,841200,170,7
"CHESHIRE",382382,15762,201505,1043500,366,15
"CORNWALL",157105,6490,201505,551700,285,12
"CUMBRIA",185359,7586,201505,498000,372,15
"DERBYSHIRE",207867,8025,201505,1036600,201,8
"DEVON",337185,13834,201505,1169200,288,12
"DORSET",175040,6216,201505,765700,229,8
"DURHAM",309637,15131,201505,855900,362,18
"EAST RIDING OF YORKSHIRE",41901,1634,201505,595700,70,3
"EAST SUSSEX",245230,10244,201505,829300,296,12
"ESSEX",427740,17614,201505,1787000,239,10
"GLOUCESTERSHIRE",119688,5315,201505,891800,134,6
"GREATER MANCHESTER",197532,8012,201505,2756200,72,3
"HAMPSHIRE",473095,17179,201505,1814300,261,9
"HEREFORDSHIRE",36457,1422,201505,188100,194,8
"HERTFORDSHIRE",190561,7611,201505,1166300,163,7
"ISLE OF WIGHT",34875,1282,201505,139400,250,9
"KENT",442333,17131,201505,1801200,246,10
"LANCASHIRE",654599,26398,201505,1478100,443,18
"LEICESTERSHIRE",149940,5929,201505,1017900,147,6
"LINCOLNSHIRE",247912,11521,201505,1066100,233,11
"LONDON",844271,34921,201505,8665000,97,4
"MERSEYSIDE",279266,11513,201505,1398000,200,8
"NORFOLK",243399,10763,201505,885000,275,12
"NORTH YORKSHIRE",238324,9700,201505,1140400,209,9
"NORTHAMPTONSHIRE",134197,5568,201505,723000,186,8
"NORTHUMBERLAND",83799,4097,201505,315300,266,13
"NOTTINGHAMSHIRE",120541,4531,201505,1124700,107,4
"OXFORDSHIRE",95505,3682,201505,677800,141,5
"RUTLAND",904,41,201505,38000,24,1
"SHROPSHIRE",109424,3847,201505,482500,227,8
"SOMERSET",219523,8501,201505,940200,233,9
"SOUTH YORKSHIRE",355710,14576,201505,1374700,259,11
"STAFFORDSHIRE",234046,9171,201505,1114200,210,8
"SUFFOLK",231783,8610,201505,741900,312,12
"SURREY",327161,12553,201505,1168800,280,11
"TYNE AND WEAR",321647,17283,201505,1122200,287,15
"WARWICKSHIRE",88719,3387,201505,554000,160,6
"WEST MIDLANDS",302348,11711,201505,2833600,107,4
"WEST SUSSEX",201776,7398,201505,836300,241,9
"WEST YORKSHIRE",408771,18297,201505,2281700,179,8
"WILTSHIRE",152446,6230,201505,703300,217,9
"WORCESTERSHIRE",91264,3717,201505,578600,158,6
"BEDFORDSHIRE",100419,3974,201506,655000,153,6
"BERKSHIRE",186361,7184,201506,890600,209,8
"BRISTOL",52246,2191,201506,449300,116,5
"BUCKINGHAMSHIRE",77140,2671,201506,790200,98,3
"CAMBRIDGESHIRE",148160,6313,201506,841200,176,8
"CHESHIRE",397165,16236,201506,1043500,381,16
"CORNWALL",158636,6578,201506,551700,288,12
"CUMBRIA",193033,7900,201506,498000,388,16
"DERBYSHIRE",224592,8634,201506,1036600,217,8
"DEVON",352944,14604,201506,1169200,302,12
"DORSET",181322,6457,201506,765700,237,8
"DURHAM",325603,15942,201506,855900,380,19
"EAST RIDING OF YORKSHIRE",45383,1763,201506,595700,76,3
"EAST SUSSEX",251277,10610,201506,829300,303,13
"ESSEX",441696,18230,201506,1787000,247,10
"GLOUCESTERSHIRE",121734,5469,201506,891800,137,6
"GREATER MANCHESTER",209459,8491,201506,2756200,76,3
"HAMPSHIRE",491056,17855,201506,1814300,271,10
"HEREFORDSHIRE",37746,1520,201506,188100,201,8
"HERTFORDSHIRE",193745,7918,201506,1166300,166,7
"ISLE OF WIGHT",37564,1373,201506,139400,269,10
"KENT",459683,17863,201506,1801200,255,10
"LANCASHIRE",692705,27911,201506,1478100,469,19
"LEICESTERSHIRE",156134,6243,201506,1017900,153,6
"LINCOLNSHIRE",258152,11958,201506,1066100,242,11
"LONDON",890430,36465,201506,8665000,103,4
"MERSEYSIDE",314004,12940,201506,1398000,225,9
"NORFOLK",258404,11307,201506,885000,292,13
"NORTH YORKSHIRE",254782,10404,201506,1140400,223,9
"NORTHAMPTONSHIRE",140291,5819,201506,723000,194,8
"NORTHUMBERLAND",86647,4319,201506,315300,275,14
"NOTTINGHAMSHIRE",128635,4818,201506,1124700,114,4
"OXFORDSHIRE",96266,3750,201506,677800,142,6
"RUTLAND",1176,54,201506,38000,31,1
"SHROPSHIRE",117029,4122,201506,482500,243,9
"SOMERSET",239188,9279,201506,940200,254,10
"SOUTH YORKSHIRE",372498,15521,201506,1374700,271,11
"STAFFORDSHIRE",248471,9775,201506,1114200,223,9
"SUFFOLK",237917,8963,201506,741900,321,12
"SURREY",341186,13225,201506,1168800,292,11
"TYNE AND WEAR",336445,18407,201506,1122200,300,16
"WARWICKSHIRE",94466,3611,201506,554000,171,7
